date,PO%,away_team_runs,woba_denom,WAR,Swing% (sc),SH,Str,incorrect_calls,home_runs,Pulls,IFH%,balls,CTv,FA% (sc),FS% (pi),wFA (sc),SC-Z (sc),SI-X (pi),# 60-90%,StS,Contact%,H/9+,BIP-Wins,ShO,at_bat_number,wFA (pi),OPS,LA,Pull%,Loc+ CU,# 0%,average_distance,hit_distance_sc,Pit+ FC,Off,Pace,L,CH-Z (sc),FC-X (pi),AVG,bat_score,rank,PB,60-90%,ay,FA-Z (pi),wCH,F-Strike%,TE,vFS (sc),2B,rTS,vSL (pi),wKC (sc),maxEV,CH-X (pi),40-60%,GB%,SF,XX% (pi),botOvr CH,PA,K/BB,botStf FS,RngR,az,SC% (sc),O-Contact% (sc),Pit+ FS,woba_value,CU-X (sc),Loc+ SI,launch_angle,vFT (sc),inLI,wCU/C (sc),HBP,vFA (pi),SL% (pi),correct_calls_above_expected,delta_home_win_exp,O-Contact% (pi),FP,O-Contact%,E,release_speed,inning_topbot,post_away_score,botOvr KC,wSL/C (sc),release_spin_rate,K%,EP-X (sc),Zone% (pi),wGDP,botCmd CU,G,Loc+ FS,Cent%+,CS-Z (pi),UZR/150,SL% (sc),plate_z,ISO+,max_distance,year,SB-Z (pi),home_team,K/9+,spin_rate_deprecated,RS/9,SB-X (pi),release_pos_z,Cent%,release_extension,BABIP,FO-X (sc),vCS (pi),1-10%,description,accuracy_above_expected,BB%,FBv,BF,Loc+ FA,SFv,FIP,botCmd KC,LOB%,average_homerun,rCERA,FA-X (pi),wFS/C (sc),botCmd SL,Z-Contact%,rGDP,fielder_2,SLG+,Swing%,wCU (pi),UZR,batted_ball_events,id,expected_incorrect_calls,wFC (pi),GS,Dollars,Spd,HR/FB,kwERA,FE,botOvr FS,SO,FA-X (sc),Stf+ CU,SB% (pi),pitcher.1,player_name,wKC/C (sc),StL,fly_ball_line_drive_ev,vFS (pi),wSL (sc),Pit+ SI,Lg,CB%,wFB/C,H,wKN (pi),xERA,A,break_length_deprecated,Stf+ FA,Starting,Dol,FB,O-Swing% (sc),type,iso_value,wSI (sc),xFIP,Z-Swing%,swing_length,LD%+,CU-Z (pi),O-Swing% (pi),estimated_ba_using_speedangle,CG,FDP-Wins,Clutch,Team,FIP-,Pos,FSR,des,10-40%,wCH/C,FT-X (sc),IBB,botOvr,K/BB+,vCH (pi),wCT/C,xSLG,ARM,plate_x,FO-Z (sc),botStf FC,RBI,release_pos_y,#days,AVG+,IDfg,ballpark,SLv,pitches_called,FS-Z (sc),Scp,W,wRC+,CH-Z (pi),FS-X (pi),rSB,wKN/C (sc),Stf+ FS,wFS/C (pi),KN-X (pi),launch_speed_angle,Contact% (pi),Pit+ KC,FC% (sc),post_fld_score,Stf+ SI,post_bat_score,bat_speed,SO/W,Barrel%,wSI/C (pi),tfs_deprecated,pfx_x,phLI,vCU (sc),AB,RAR,# 10-40%,Med%+,Barrels,wCS (pi),hard_hit_95mph+,OBP,GDP,BB,on_1b,LOB-Wins,correct_calls,strikes,Pit+ FA,KC-X (sc),post_home_score,vFA (sc),vSC (sc),wSL,target,exLI,FA% (pi),vKC (sc),wCH/C (pi),BUH%,LD%,ISO,SO9,EV,WHIP+,launch_speed,Stf+ FO,Stf+ KC,wSF/C,botStf KC,game_year,FB% 2,FRM,wSC/C (sc),CH% (pi),rPM,SL%,OAA,wSI (pi),XX-Z (pi),estimated_woba_using_speedangle,DPF,SI-Z (pi),CU% (sc),botOvr SI,TZ,xwOBA,Bat,on_2b,IFH,vFC (pi),SF%,away_team,total_run_impact,botxRV100,FT-Z (sc),Soft%+,zone,MD,Pit+ CU,SL-X (sc),ER,SL-Z (pi),BA,FB%,Age Rng,botStf FA,barrels_batted_balls_percentage,DRS,KC% (sc),Z-Swing% (sc),WPA,FA-Z (sc),Hard%,batter,pitch_type,away_score,SI-X (sc),+WPA,wSC (sc),average_ev,RA9-WAR,KC-Z (sc),home_score,Pit+ FO,SC-X (sc),vy0,feature2,Swing% (pi),player,release_pos_x,SL-X (pi),wCB,GB/FB,wCH (pi),vSI (sc),Age,game_type,Stf+ FC,wFC/C (sc),BB/9,Balls,pitch_name,fielder_7,-WPA,expected_correct_calls,Med%,KNv,K%+,botCmd FC,vFC (sc),UN% (sc),GB,3B,CSW%,1B,SwStr%,wFT/C (sc),on_3b,wFC/C (pi),FB% (Pitch),wOBA,wSF,botStf SI,fielder_6,Loc+ FO,accuracy,ErrR,total_barrels,BUH,wCH (sc),wSB/C (pi),wCB/C,BAbip,wSB,HR/9,90-100%,botOvr FC,Rep,botCmd,Pitching+,botStf CU,vFO (sc),sz_top,fielder_2.1,expected_homers,BU,R,air_density_index,Zone% (sc),CH-X (sc),strikeouts,WP,SB,Stf+ CH,wCT,gmLI,vx0,rARM,outs_when_up,E-F,vKN (sc),fielder_9,vSI (pi),sv_id,CS-X (pi),babip_value,wCS/C (pi),Loc+ KC,Zone%,DPS,L-WAR,Tm,BIZ,barrels_plate_appearance_percentage,vz0,wEP (sc),FC-Z (pi),OBP+,fielder_5,FC-Z (sc),SV,Z-Contact% (sc),Stf+ SL,wRC,inning,botCmd FS,Lev,PU,Pit+ CH,Hard%+,GB%+,SL-Z (sc),wSI/C (sc),spin_dir,OOZ,BB%+,TTO%,Def,HR,effective_speed,fielder_4,CStr%,wFT (sc),# 1-10%,wFC (sc),BB/9+,Pit+ SL,Pace (pi),mlbID,BK,sz_bot,DP,RZR,# 90-100%,Soft%,botERA,TZL,FB%+,Oppo%,EP% (sc),break_angle_deprecated,vKN (pi),umpire,Stuff+,vSB (pi),0%,away,wFS (pi),FC% (pi),Location+,FO% (sc),PH,tERA,BABIP+,CU-X (pi),KN-Z (sc),of_fielding_alignment,Z-Contact% (pi),pLI,LOB%+,actual_homers,K/9,KN%,wKN,botCmd CH,BS,botCmd SI,CS% (pi),Pitches,expected_accuracy,TBF,KN-Z (pi),wCH/C (sc),xBA,XX%,CBv,LD+%,favor_home,HR/9+,Loc+ CH,HR/FB%+,Range,pitcher,CPP,RS,delta_run_exp,DPR,Inn,altitude,Events,SI% (pi),wFA/C (pi),SIERA,game_pk,vXX (pi),Fld,REW,WPA/LI,Loc+ FC,rGFP,fld_score,hit_location,Start-IP,SI% (sc),home_team_runs,wKN/C,IFFB%,SLG,CU-Z (sc),FS-Z (pi),wXX (pi),ERA-,HLD,hard_hit_percentage,botStf CH,botStf SL,if_fielding_alignment,game_date,IP,UBR,Name,ground_ball_ev,wFB,CH%,wXX/C (pi),FS% (sc),Pull%+,FT% (sc),wSL/C,wCU/C (pi),hc_x,CS,botOvr FA,wKN (sc),wSL/C (pi),SI-Z (sc),Oppo%+,botOvr SL,consistency,xFIP-,DPT,pitch_number,CH% (sc),events,stand,FC-X (sc),RPP,CHv,LD,KN% (sc),HardHit,feature1,Z-Swing% (pi),wFA/C (sc),Pit,# 40-60%,hc_y,CU% (pi),bb_type,RE24,H/9,BsR,wFS (sc),Relief-IP,tfs_zulu_deprecated,BB/K,wFO (sc),wCU (sc),WHIP,HardHit%,vCH (sc),wSB (pi),vCU (pi),wRAA,KN-X (sc),wSL (pi),fielder_8,Season,FS-X (sc),wEP/C (sc),home,PO,pfx_z,IFFB,vEP (sc),rSZ,botCmd FA,botOvr CU,botStf,spin_axis,Contact% (sc),Relieving,max_ev,SD,XX-X (pi),p_throws,Strikes,wKN/C (pi),vSL (sc),ax,wFO/C (sc),CT%,ERA,fielder_3,KN% (pi),O-Swing%,K-BB%,sweet_spot_percentage,EP-Z (sc),hard_hit_swing_percentage,Loc+ SL,Plays
,,,,,,,0.64,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,15,,,,,,,,4,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,389,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,85,,,,,,,0.19,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2070,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.04,,,,,,,352,,,,,,,,7,28,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,28,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,45,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.09,,,,,,,,,,,12,,,,,,,,,,570240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.27,,,,,,1420,,,,,,,,,,,,,,1.241,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,4.18,,,,,,,,,
,,,,,,,0.52,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,0.28,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2235,,,,,,,,3.0,,,,,,,,,,,,,,,,,0.5,,,,,,,4,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,34,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.333,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,0,,,,,,,,,,460060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.33,,,,,,29,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,
,,,,,,,0.62,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,14,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,96,,,,,,,0.17,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2070,,,,,,,,6.0,,,,,,,,,,,,,,,,,2.4,,,,,,,275,,,,,,,,7,40,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,22,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0.238,,,,,,,,,,,,,,37,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.09,,,,,,,,,,,8,,,,,,,,,,642547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.25,,,,,,1380,,,,,,,,,,,,,,1.136,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,
,,,,,,,0.62,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,9,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,31,,,,,,,0.15,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2066,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,192,,,,,,,,4,31,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,26,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,32,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.07,,,,,,,,,,,2,,,,,,,,,,593974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0.3,,,,,,864,,,,,,,,,,,,,,1.963,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,5.36,,,,,,,,,
,,,,,,,0.59,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,35,,,,,,,0.16,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2065,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.52,,,,,,,122,,,,,,,,5,23,,,,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,29,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0.282,,,,,,,,,,,,,,14,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,0.07,,,,,,,,,,,4,,,,,,,,,,503449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.27,,,,,,602,,,,,,,,,,,,,,1.485,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,3.67,,,,,,,,,
,,,,,,,0.61,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,19,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,39,,,,,,,0.19,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2068,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.77,,,,,,,189,,,,,,,,5,22,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,25,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.392,,,,,,,,,,,,,,37,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.07,,,,,,,,,,,4,,,,,,,,,,606131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.33,,,,,,840,,,,,,,,,,,,,,1.881,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,7.05,,,,,,,,,
,,,,,,,0.6,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,12,,,,,,,0.14,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2068,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.71,,,,,,,38,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,22,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,5,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.04,,,,,,,,,,,3,,,,,,,,,,672335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.23,,,,,,214,,,,,,,,,,,,,,1.147,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,3.97,,,,,,,,,
,,,,,,,0.57,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,,,,,,,0.15,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2123,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,17,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,27,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.429,,,,,,,,,,,,,,5,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,1,,,,,,,,,,541650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.33,,,,,,74,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,
,,,,,,,0.62,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,16,,,,,,,,5,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,397,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,52,,,,,,,0.16,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2066,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.44,,,,,,,353,,,,,,,,13,36,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,27,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,0.345,,,,,,,,,,,,,,68,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.06,,,,,,,,,,,16,,,,,,,,,,527048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0.25,,,,,,1398,,,,,,,,,,,,,,1.781,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,6.22,,,,,,,,,
,,,,,,,0.69,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,43,,,,,,,0.22,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2065,,,,,,,,1.0,,,,,,,,,,,,,,,,,6.14,,,,,,,110,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,36,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.239,,,,,,,,,,,,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.1,,,,,,,,,,,1,,,,,,,,,,424144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0.21,,,,,,466,,,,,,,,,,,,,,0.742,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1.39,,,,,,,,,
,,,,,,,0.6,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,17,,,,,,,0.17,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2151,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.13,,,,,,,111,,,,,,,,3,15,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,25,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,22,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.07,,,,,,,,,,,4,,,,,,,,,,596071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0.3,,,,,,504,,,,,,,,,,,,,,1.771,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,7.16,,,,,,,,,
,,,,,,,0.63,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,0.1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2068,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.31,,,,,,,8,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,28,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.833,,,,,,,,,,,,,,4,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,1,,,,,,,,,,607054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.43,,,,,,30,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,
,,,,,,,0.69,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,25,,,,,,,0.16,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2066,,,,,,,,2.0,,,,,,,,,,,,,,,,,5.0,,,,,,,111,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,27,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.269,,,,,,,,,,,,,,19,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.07,,,,,,,,,,,8,,,,,,,,,,623402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.2,,,,,,405,,,,,,,,,,,,,,1.229,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,6.18,,,,,,,,,
,,,,,,,0.68,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,16,,,,,,,,5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,368,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,76,,,,,,,0.18,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,2064,,,,,,,,7.0,,,,,,,,,,,,,,,,,4.22,,,,,,,344,,,,,,,,6,18,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,33,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0.242,,,,,,,,,,,,,,32,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.1,,,,,,,,,,,13,,,,,,,,,,433589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,0.24,,,,,,1313,,,,,,,,,,,,,,1.011,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
